Rank;Name;Platform;Year;Genre;Publisher;NA_Sales;EU_Sales;JP_Sales;Other_Sales;Global_Sales
267;Daxter;PSP;2006;Platform;Sony Computer Entertainment;2.45;1.02;0;0.75;4.22
269;The Legend of Zelda: Ocarina of Time;3DS;2011;Action;Nintendo;2.03;1.27;0.62;0.3;4.21
270;FIFA Soccer 06;PS2;2005;Sports;Electronic Arts;0.78;2.55;0.04;0.84;4.21
272;Uncharted 4: A Thief's End;PS4;2016;Shooter;Sony Computer Entertainment;1.3;2.07;0.18;0.65;4.2
273;Gran Turismo 5 Prologue;PS3;2007;Racing;Sony Computer Entertainment;1.28;1.83;0.57;0.53;4.2
274;Assassin's Creed: Revelations;X360;2011;Action;Ubisoft;2.25;1.47;0.04;0.43;4.19
275;Street Fighter IV;PS3;2009;Fighting;Capcom;2.02;1.06;0.58;0.53;4.19
278;Excitebike;NES;1984;Racing;Nintendo;2.04;0.48;1.57;0.07;4.16
279;Frogger;PS;1997;Action;Hasbro Interactive;3.79;0.27;0;0.11;4.16
280;Madden NFL 2003;PS2;2002;Sports;Electronic Arts;3.36;0.21;0.01;0.56;4.14
281;Watch Dogs;PS4;2014;Action;Ubisoft;1.4;1.86;0.11;0.77;4.14
282;Half-Life;PC;1997;Shooter;Vivendi Games;4.03;0;0.09;0;4.12
284;FIFA Soccer 07;PS2;2006;Sports;Electronic Arts;0.71;2.48;0.03;0.89;4.11
285;The Legend of Zelda: Skyward Sword;Wii;2011;Action;Nintendo;2.14;1.2;0.37;0.4;4.1
286;Street Fighter II Turbo;SNES;1992;Fighting;Capcom;1.42;0.51;2.1;0.07;4.1
287;Carnival Games;Wii;2007;Misc;Take-Two Interactive;2.13;1.5;0.05;0.42;4.1
288;Fallout 4;XOne;2015;Role-Playing;Bethesda Softworks;2.45;1.26;0.01;0.37;4.09
289;World of Warcraft: The Burning Crusade;PC;2007;Role-Playing;Activision;2.57;1.52;0;0;4.09
290;Fallout: New Vegas;X360;2010;Role-Playing;Bethesda Softworks;2.65;1.06;0.04;0.33;4.08
291;God of War II;PS2;2007;Action;Sony Computer Entertainment;2.32;0.04;0.04;1.67;4.07
292;Forza Motorsport 2;X360;2007;Racing;Microsoft Game Studios;2.35;1.28;0.03;0.41;4.06
293;World Soccer Winning Eleven 9;PS2;2005;Sports;Konami Digital Entertainment;0.12;2.26;0.9;0.77;4.06
295;Tekken Tag Tournament;PS2;2000;Fighting;Namco Bandai Games;1.68;1.51;0.51;0.35;4.05
296;Far Cry 4;PS4;2014;Shooter;Ubisoft;1.12;2.12;0.1;0.69;4.03
297;Star Fox 64;N64;1997;Shooter;Nintendo;2.78;0.58;0.64;0.04;4.03
298;Minecraft;PS4;2014;Misc;Sony Computer Entertainment Europe;1.38;1.87;0.12;0.65;4.02
299;Golf;NES;1984;Sports;Nintendo;1.22;0.28;2.46;0.04;4.01
300;Fallout 3;PS3;2008;Role-Playing;Bethesda Softworks;2.15;1.2;0.07;0.59;4.01
301;Professor Layton and the Diabolical Box;DS;2007;Puzzle;Nintendo;0.92;1.78;0.92;0.37;4
302;Left 4 Dead 2;X360;2009;Shooter;Electronic Arts;2.67;0.89;0.05;0.37;3.99
303;Namco Museum: 50th Anniversary;PS2;2005;Misc;Namco Bandai Games;2.08;1.35;0;0.54;3.98
304;EA Sports Active;Wii;2009;Sports;Electronic Arts;2.1;1.36;0.06;0.4;3.92
307;Tony Hawk's Underground;PS2;2003;Sports;Activision;2.29;1.17;0.01;0.42;3.9
308;Assassin's Creed IV: Black Flag;PS3;2013;Action;Ubisoft;1.33;1.71;0.13;0.73;3.89
309;Monster Hunter 4 Ultimate;3DS;2014;Role-Playing;Nintendo;0.67;0.49;2.62;0.11;3.89
310;MotorStorm;PS3;2006;Racing;Sony Computer Entertainment;1.53;1.61;0.06;0.67;3.88
311;The Elder Scrolls V: Skyrim;PC;2011;Role-Playing;Bethesda Softworks;1.15;2.09;0;0.64;3.88
312;Tekken 5;PS2;2005;Fighting;Namco Bandai Games;0.93;1.94;0.31;0.7;3.87
313;Dragon Warrior III;NES;1988;Role-Playing;Enix Corporation;0.1;0;3.77;0;3.87
314;Sports Champions;PS3;2010;Sports;Sony Computer Entertainment;2.12;1.14;0.1;0.51;3.87
315;NBA 2K16;PS4;2015;Sports;Take-Two Interactive;2.48;0.65;0.03;0.69;3.85
316;World Soccer Winning Eleven 8 International;PS2;2004;Sports;Konami Digital Entertainment;0.16;1.89;1.12;0.68;3.85
317;Flash Focus: Vision Training in Minutes a Day;DS;2007;Misc;Nintendo;0.87;1.57;1.05;0.35;3.84
320;Mario & Luigi: Bowser's Inside Story;DS;2009;Role-Playing;Nintendo;2.26;0.48;0.81;0.27;3.83
321;Big Brain Academy: Wii Degree;Wii;2007;Misc;Nintendo;1.06;1.93;0.41;0.43;3.82
